"Step","reconstruction_with_individual_norms_galvani_deit - train_h_norms_ave","reconstruction_with_individual_norms_galvani_deit - train_h_norms_ave__MIN","reconstruction_with_individual_norms_galvani_deit - train_h_norms_ave__MAX"
"5","4.896165370941162","4.896165370941162","4.896165370941162"
"20","4.228322982788086","4.228322982788086","4.228322982788086"
"35","3.792461633682251","3.792461633682251","3.792461633682251"
"50","3.539461374282837","3.539461374282837","3.539461374282837"
"65","3.289775848388672","3.289775848388672","3.289775848388672"
"80","3.112112045288086","3.112112045288086","3.112112045288086"
"95","2.9272725582122803","2.9272725582122803","2.9272725582122803"
"110","2.919527053833008","2.919527053833008","2.919527053833008"
"125","2.7762348651885986","2.7762348651885986","2.7762348651885986"
"140","2.6895034313201904","2.6895034313201904","2.6895034313201904"
"155","2.6399781703948975","2.6399781703948975","2.6399781703948975"
"170","2.5698747634887695","2.5698747634887695","2.5698747634887695"
"185","2.5382721424102783","2.5382721424102783","2.5382721424102783"
"200","2.546480178833008","2.546480178833008","2.546480178833008"
"215","2.5034797191619873","2.5034797191619873","2.5034797191619873"
"230","2.4736220836639404","2.4736220836639404","2.4736220836639404"
"245","2.473844289779663","2.473844289779663","2.473844289779663"
"260","2.44549560546875","2.44549560546875","2.44549560546875"
"275","2.447735548019409","2.447735548019409","2.447735548019409"
"290","2.452857255935669","2.452857255935669","2.452857255935669"
"305","2.4799158573150635","2.4799158573150635","2.4799158573150635"
"320","2.39206600189209","2.39206600189209","2.39206600189209"
"335","2.4234368801116943","2.4234368801116943","2.4234368801116943"
"350","2.4107484817504883","2.4107484817504883","2.4107484817504883"
"365","2.406017541885376","2.406017541885376","2.406017541885376"
"380","2.3868558406829834","2.3868558406829834","2.3868558406829834"
"395","2.376976251602173","2.376976251602173","2.376976251602173"
"410","2.397254705429077","2.397254705429077","2.397254705429077"
"425","2.3596479892730713","2.3596479892730713","2.3596479892730713"
"440","2.3312456607818604","2.3312456607818604","2.3312456607818604"
"455","2.342175006866455","2.342175006866455","2.342175006866455"
"470","2.329618453979492","2.329618453979492","2.329618453979492"
"485","2.367711305618286","2.367711305618286","2.367711305618286"
"500","2.32141375541687","2.32141375541687","2.32141375541687"
"515","2.3188815116882324","2.3188815116882324","2.3188815116882324"
"530","2.2713160514831543","2.2713160514831543","2.2713160514831543"
"545","2.292893171310425","2.292893171310425","2.292893171310425"
"560","2.2928147315979004","2.2928147315979004","2.2928147315979004"
"575","2.314460277557373","2.314460277557373","2.314460277557373"
"590","2.2745437622070312","2.2745437622070312","2.2745437622070312"
"605","2.2437171936035156","2.2437171936035156","2.2437171936035156"
"620","2.2366743087768555","2.2366743087768555","2.2366743087768555"
"635","2.210019826889038","2.210019826889038","2.210019826889038"
"650","2.245126247406006","2.245126247406006","2.245126247406006"
"665","2.2511508464813232","2.2511508464813232","2.2511508464813232"
"680","2.2052807807922363","2.2052807807922363","2.2052807807922363"
"695","2.231112241744995","2.231112241744995","2.231112241744995"
"710","2.218676805496216","2.218676805496216","2.218676805496216"
"725","2.197580575942993","2.197580575942993","2.197580575942993"
"740","2.2606115341186523","2.2606115341186523","2.2606115341186523"
"755","2.192350387573242","2.192350387573242","2.192350387573242"
"770","2.191012382507324","2.191012382507324","2.191012382507324"
"785","2.1702778339385986","2.1702778339385986","2.1702778339385986"
"800","2.1980175971984863","2.1980175971984863","2.1980175971984863"
"815","2.144904136657715","2.144904136657715","2.144904136657715"
"830","2.1513092517852783","2.1513092517852783","2.1513092517852783"
"845","2.1785759925842285","2.1785759925842285","2.1785759925842285"
"860","2.1477127075195312","2.1477127075195312","2.1477127075195312"
"875","2.1736907958984375","2.1736907958984375","2.1736907958984375"
"890","2.159233331680298","2.159233331680298","2.159233331680298"
"905","2.1088507175445557","2.1088507175445557","2.1088507175445557"
"920","2.1287343502044678","2.1287343502044678","2.1287343502044678"
"935","2.1310808658599854","2.1310808658599854","2.1310808658599854"
"950","2.103233575820923","2.103233575820923","2.103233575820923"
"965","2.1529221534729004","2.1529221534729004","2.1529221534729004"
"980","2.0987374782562256","2.0987374782562256","2.0987374782562256"
"995","2.106652021408081","2.106652021408081","2.106652021408081"
"1010","2.1282973289489746","2.1282973289489746","2.1282973289489746"
"1025","2.103142261505127","2.103142261505127","2.103142261505127"
"1040","2.117143392562866","2.117143392562866","2.117143392562866"
"1055","2.109736204147339","2.109736204147339","2.109736204147339"
"1070","2.0644845962524414","2.0644845962524414","2.0644845962524414"
"1085","2.083388090133667","2.083388090133667","2.083388090133667"
"1100","2.0967819690704346","2.0967819690704346","2.0967819690704346"
"1115","2.084555149078369","2.084555149078369","2.084555149078369"
"1130","2.072394847869873","2.072394847869873","2.072394847869873"
"1145","2.0523006916046143","2.0523006916046143","2.0523006916046143"
"1160","2.0773766040802","2.0773766040802","2.0773766040802"
"1175","2.0347084999084473","2.0347084999084473","2.0347084999084473"
"1190","2.036149740219116","2.036149740219116","2.036149740219116"
"1205","2.0210535526275635","2.0210535526275635","2.0210535526275635"
"1220","2.052293539047241","2.052293539047241","2.052293539047241"
"1235","2.0331003665924072","2.0331003665924072","2.0331003665924072"
"1250","2.0309791564941406","2.0309791564941406","2.0309791564941406"
"1265","2.0066916942596436","2.0066916942596436","2.0066916942596436"
"1280","2.047292709350586","2.047292709350586","2.047292709350586"
"1295","2.0222127437591553","2.0222127437591553","2.0222127437591553"
"1310","1.9973506927490234","1.9973506927490234","1.9973506927490234"
"1325","2.0384280681610107","2.0384280681610107","2.0384280681610107"
"1340","1.9837695360183716","1.9837695360183716","1.9837695360183716"
"1355","2.0027315616607666","2.0027315616607666","2.0027315616607666"
"1370","1.9999241828918457","1.9999241828918457","1.9999241828918457"
"1385","1.9890276193618774","1.9890276193618774","1.9890276193618774"
"1400","1.9653538465499878","1.9653538465499878","1.9653538465499878"
"1415","1.969232439994812","1.969232439994812","1.969232439994812"
"1430","1.972727656364441","1.972727656364441","1.972727656364441"
"1445","1.9757612943649292","1.9757612943649292","1.9757612943649292"
"1460","1.9989434480667114","1.9989434480667114","1.9989434480667114"
"1475","1.9634861946105957","1.9634861946105957","1.9634861946105957"
"1490","1.9690569639205933","1.9690569639205933","1.9690569639205933"
"1505","1.9565469026565552","1.9565469026565552","1.9565469026565552"
"1520","1.941719889640808","1.941719889640808","1.941719889640808"
"1535","1.9739552736282349","1.9739552736282349","1.9739552736282349"
"1550","1.9584836959838867","1.9584836959838867","1.9584836959838867"
"1565","1.932059407234192","1.932059407234192","1.932059407234192"
"1580","1.9533120393753052","1.9533120393753052","1.9533120393753052"
"1595","1.9307799339294434","1.9307799339294434","1.9307799339294434"
"1610","1.9472602605819702","1.9472602605819702","1.9472602605819702"
"1625","1.9068485498428345","1.9068485498428345","1.9068485498428345"
"1640","1.958863615989685","1.958863615989685","1.958863615989685"
"1655","1.9210599660873413","1.9210599660873413","1.9210599660873413"
"1670","1.9329391717910767","1.9329391717910767","1.9329391717910767"
"1685","1.9178622961044312","1.9178622961044312","1.9178622961044312"
"1700","1.9108320474624634","1.9108320474624634","1.9108320474624634"
"1715","1.9079960584640503","1.9079960584640503","1.9079960584640503"
"1730","1.9111076593399048","1.9111076593399048","1.9111076593399048"
"1745","1.906154751777649","1.906154751777649","1.906154751777649"
"1760","1.9033445119857788","1.9033445119857788","1.9033445119857788"
"1775","1.8835011720657349","1.8835011720657349","1.8835011720657349"
"1792","1.897746205329895","1.897746205329895","1.897746205329895"
"1809","1.8583149909973145","1.8583149909973145","1.8583149909973145"
"1826","1.8935651779174805","1.8935651779174805","1.8935651779174805"
"1843","1.9019335508346558","1.9019335508346558","1.9019335508346558"
"1860","1.8773552179336548","1.8773552179336548","1.8773552179336548"
"1877","1.8597179651260376","1.8597179651260376","1.8597179651260376"
"1894","1.8532792329788208","1.8532792329788208","1.8532792329788208"
"1911","1.8688188791275024","1.8688188791275024","1.8688188791275024"
"1928","1.8621212244033813","1.8621212244033813","1.8621212244033813"