"Step","reconstruction_with_individual_norms_galvani_deit - train_rel_error_wrt_phiq","reconstruction_with_individual_norms_galvani_deit - train_rel_error_wrt_phiq__MIN","reconstruction_with_individual_norms_galvani_deit - train_rel_error_wrt_phiq__MAX"
"4","136864.109375","136864.109375","136864.109375"
"19","273840.125","273840.125","273840.125"
"34","722506.5","722506.5","722506.5"
"49","642785.0625","642785.0625","642785.0625"
"64","657136.0625","657136.0625","657136.0625"
"79","770262.0625","770262.0625","770262.0625"
"94","643194.1875","643194.1875","643194.1875"
"109","983539","983539","983539"
"124","1060112.875","1060112.875","1060112.875"
"139","1235920.5","1235920.5","1235920.5"
"154","1137988.125","1137988.125","1137988.125"
"169","1096901.75","1096901.75","1096901.75"
"184","1102284","1102284","1102284"
"199","1267365.625","1267365.625","1267365.625"
"214","1410156.125","1410156.125","1410156.125"
"229","1619968","1619968","1619968"
"244","1454627.625","1454627.625","1454627.625"
"259","1581021.125","1581021.125","1581021.125"
"274","1273145.5","1273145.5","1273145.5"
"289","1191923.5","1191923.5","1191923.5"
"304","1683227.125","1683227.125","1683227.125"
"319","1754528.625","1754528.625","1754528.625"
"334","1888569.125","1888569.125","1888569.125"
"349","1457451.5","1457451.5","1457451.5"
"364","1753648.625","1753648.625","1753648.625"
"379","1536662.625","1536662.625","1536662.625"
"394","1202570","1202570","1202570"
"409","1597057.875","1597057.875","1597057.875"
"424","1390704.125","1390704.125","1390704.125"
"439","1573930.625","1573930.625","1573930.625"
"454","1477083.375","1477083.375","1477083.375"
"469","1947733.625","1947733.625","1947733.625"
"484","1705443.125","1705443.125","1705443.125"
"499","1270783.875","1270783.875","1270783.875"
"514","1159990.375","1159990.375","1159990.375"
"529","1404569.625","1404569.625","1404569.625"
"544","1266137.25","1266137.25","1266137.25"
"559","984981.3125","984981.3125","984981.3125"
"574","1348399","1348399","1348399"
"589","1072141.375","1072141.375","1072141.375"
"604","956394.6875","956394.6875","956394.6875"
"619","1020343.6875","1020343.6875","1020343.6875"
"634","1033442.75","1033442.75","1033442.75"
"649","1060583.375","1060583.375","1060583.375"
"664","1032356.6875","1032356.6875","1032356.6875"
"679","1097683.25","1097683.25","1097683.25"
"694","961075.5","961075.5","961075.5"
"709","1030973","1030973","1030973"
"724","898704.25","898704.25","898704.25"
"739","887071.6875","887071.6875","887071.6875"
"754","1040697.3125","1040697.3125","1040697.3125"
"769","875611","875611","875611"
"784","650981.4375","650981.4375","650981.4375"
"799","829257.6875","829257.6875","829257.6875"
"814","546623.75","546623.75","546623.75"
"829","787327.5625","787327.5625","787327.5625"
"844","824878.5","824878.5","824878.5"
"859","897229.25","897229.25","897229.25"
"874","806929.5625","806929.5625","806929.5625"
"889","797109.8125","797109.8125","797109.8125"
"904","767015.4375","767015.4375","767015.4375"
"919","563593.3125","563593.3125","563593.3125"
"934","613605","613605","613605"
"949","582037.8125","582037.8125","582037.8125"
"964","734163.8125","734163.8125","734163.8125"
"979","779836.4375","779836.4375","779836.4375"
"994","591587","591587","591587"
"1009","678117.625","678117.625","678117.625"
"1024","675416.3125","675416.3125","675416.3125"
"1039","669824.5625","669824.5625","669824.5625"
"1054","725673.6875","725673.6875","725673.6875"
"1069","634921.3125","634921.3125","634921.3125"
"1084","632292.75","632292.75","632292.75"
"1099","580666.1875","580666.1875","580666.1875"
"1114","649487.0625","649487.0625","649487.0625"
"1129","556593.875","556593.875","556593.875"
"1144","456676.03125","456676.03125","456676.03125"
"1159","662392.1875","662392.1875","662392.1875"
"1174","439757","439757","439757"
"1189","593303.0625","593303.0625","593303.0625"
"1204","440918.78125","440918.78125","440918.78125"
"1219","618027.4375","618027.4375","618027.4375"
"1234","571849.6875","571849.6875","571849.6875"
"1249","597031.4375","597031.4375","597031.4375"
"1264","526914.5625","526914.5625","526914.5625"
"1279","698752.0625","698752.0625","698752.0625"
"1294","573826","573826","573826"
"1309","524366.4375","524366.4375","524366.4375"
"1324","745669.5625","745669.5625","745669.5625"
"1339","615024.1875","615024.1875","615024.1875"
"1354","719530","719530","719530"
"1369","626927.0625","626927.0625","626927.0625"
"1384","783588.0625","783588.0625","783588.0625"
"1399","468780.125","468780.125","468780.125"
"1414","678712.0625","678712.0625","678712.0625"
"1429","712991","712991","712991"
"1444","682124","682124","682124"
"1459","782333.8125","782333.8125","782333.8125"
"1474","667751.5625","667751.5625","667751.5625"
"1489","550774.3125","550774.3125","550774.3125"
"1504","610253.375","610253.375","610253.375"
"1519","734708.9375","734708.9375","734708.9375"
"1534","700725.8125","700725.8125","700725.8125"
"1549","585423","585423","585423"
"1564","630259.9375","630259.9375","630259.9375"
"1579","942741.9375","942741.9375","942741.9375"
"1594","547603.6875","547603.6875","547603.6875"
"1609","606977.5625","606977.5625","606977.5625"
"1624","607352.875","607352.875","607352.875"
"1639","744614","744614","744614"
"1654","600106.0625","600106.0625","600106.0625"
"1669","804115.9375","804115.9375","804115.9375"
"1684","596118.5","596118.5","596118.5"
"1699","553311.4375","553311.4375","553311.4375"
"1714","616288.9375","616288.9375","616288.9375"
"1729","632033.0625","632033.0625","632033.0625"
"1744","707983","707983","707983"
"1759","588656.3125","588656.3125","588656.3125"
"1774","675640.4375","675640.4375","675640.4375"
"1791","758518.0625","758518.0625","758518.0625"
"1808","457870.625","457870.625","457870.625"
"1825","716218.3125","716218.3125","716218.3125"
"1842","782995.25","782995.25","782995.25"
"1859","610087.5625","610087.5625","610087.5625"
"1876","545969.25","545969.25","545969.25"
"1893","597240.0625","597240.0625","597240.0625"
"1910","669370","669370","669370"
"1927","609018.5625","609018.5625","609018.5625"
"1944","699998","699998","699998"